"","tweet","created","number"
"1","negative",2017-11-09,28
"2","negative",2017-11-10,70
"3","negative",2017-11-11,89
"4","negative",2017-11-12,81
"5","negative",2017-11-13,86
"6","negative",2017-11-14,67
"7","negative",2017-11-15,51
"8","negative",2017-11-16,71
"9","negative",2017-11-17,79
"10","negative",2017-11-18,49
"11","negative",2017-11-19,51
"12","neutral",2017-11-09,251
"13","neutral",2017-11-10,529
"14","neutral",2017-11-11,526
"15","neutral",2017-11-12,547
"16","neutral",2017-11-13,504
"17","neutral",2017-11-14,487
"18","neutral",2017-11-15,415
"19","neutral",2017-11-16,454
"20","neutral",2017-11-17,423
"21","neutral",2017-11-18,380
"22","neutral",2017-11-19,236
"23","positive",2017-11-09,129
"24","positive",2017-11-10,247
"25","positive",2017-11-11,187
"26","positive",2017-11-12,210
"27","positive",2017-11-13,177
"28","positive",2017-11-14,165
"29","positive",2017-11-15,182
"30","positive",2017-11-16,240
"31","positive",2017-11-17,248
"32","positive",2017-11-18,241
"33","positive",2017-11-19,108
