"","tweet","created","number"
"1","negative",2020-10-24,23
"2","negative",2020-10-25,28
"3","negative",2020-10-26,30
"4","negative",2020-10-27,20
"5","negative",2020-10-28,26
"6","negative",2020-10-29,39
"7","negative",2020-10-30,38
"8","negative",2020-10-31,37
"9","negative",2020-11-01,22
"10","negative",2020-11-02,15
"11","neutral",2020-10-24,143
"12","neutral",2020-10-25,128
"13","neutral",2020-10-26,167
"14","neutral",2020-10-27,179
"15","neutral",2020-10-28,109
"16","neutral",2020-10-29,133
"17","neutral",2020-10-30,167
"18","neutral",2020-10-31,129
"19","neutral",2020-11-01,88
"20","neutral",2020-11-02,58
"21","positive",2020-10-24,52
"22","positive",2020-10-25,61
"23","positive",2020-10-26,104
"24","positive",2020-10-27,69
"25","positive",2020-10-28,85
"26","positive",2020-10-29,84
"27","positive",2020-10-30,111
"28","positive",2020-10-31,109
"29","positive",2020-11-01,62
"30","positive",2020-11-02,26
